IncidentDateTime,City,IncidentState,Country,Shape,DurationSeconds,Comments
00:00.0,poughkeepsie,ny,us,light,37800,Several bright lights moving erratically for extended periods of time&#44 including growing in size and brightness&#44 and disappearing.
30:00.0,linwood,nj,us,light,5,VERY bright apparent meteor over Southern New Jersey on 10/31 and 11/1 2005
00:00.0,clarksville,md,us,other,5,White ball shaped bright object whizzing across the holloween sky
00:00.0,newark,de,us,light,45,Very fast&#44 brillant bluish/white light travelling horizontally without dimming or falling
00:00.0,scottsdale,az,us,triangle,600,Gilbert
15:00.0,chambersburg,pa,us,fireball,20,Fireball
30:00.0,scottsdale,az,us,triangle,120,On Halloween Night 2005&#44 3 Lights in shape of a triangle moving over Scottsdale&#44 AZ.
40:00.0,bristol,tn,us,changing,90,TENNESSEE MUFON REPORT:  Slowly falling&#44 plasma-like object.
00:00.0,fairfield,ca,us,triangle,20,Triangular craft hovering over highway
30:00.0,greensboro,md,us,fireball,60,At about 8:30 EST  on 10/31/05 Something lit up the sky and fell towards Earth as a fireball with a long firery trail behind it
00:00.0,augusta springs,va,us,unknown,60,We saw an unusual bright blue flash in the sky and then noticed a trail in the sky that quickly faded away.
00:00.0,greensboro,nc,us,flash,15,Driving north on rt. 220 towards Va. Approx. 9 p.m. the sky entirely lit up  in a blue/turquiose color and deminished as fast as it app
00:00.0,johnstown,pa,us,egg,180,lights in SW sky 10/31/05 9pm
10:00.0,mt. pleasant,pa,us,flash,15,Bright green stream of light that was moving south along 119 South.
15:00.0,leesburg,va,us,NULL,2,Very bright flash with a tail seen in the night sky on Oct. 31&#44 2005 between 21:00 and 21:30 over Leesburg&#44 VA.
17:00.0,charlottesville,va,us,fireball,10,Bright fiery contrail in eastern night sky
30:00.0,burnsville,nc,us,fireball,120,Fireball in the sky while viewing Mars 10/31/05
30:00.0,lancaster,pa,us,light,3,light across the sky
40:00.0,bristol,tn,us,unknown,90,MUFON TENNESSEE REPORT:  Tennessee  confirmation of sighting.
45:00.0,northridge,ca,us,unknown,2,We&#39re not sure what we saw - if it was a meteor or a craft. It went very quickly&#44 at an arc downward&#44 and vanished. It was a huge brigh
52:00.0,salt lake city,ut,us,disk,2,saucer shaped craft&#44 emitting a glow of grey/white light moving up words from the valley floor
00:00.0,orland park,il,us,formation,2,strange lights over Orland Park&#44 Ill
00:00.0,chicago,il,us,NULL,3600,Perfect  giant circular hole in heavy clouds with a clear blue sky only within the hole.
30:00.0,valencia,ca,us,triangle,10,Sliver shaped white and silver object seen on I-5
30:00.0,seattle,wa,us,unknown,1800,Strange objects in the morning sky over Seattle - on Halloween.  ((NUFORC Note:  A contrail&#44 we believe.  PD))
00:00.0,eureka,mt,us,fireball,300,falling fireball super slow 100 feet from ground
40:00.0,portage,wi,us,light,10,2 Rows of 4 orange lights over Portage
10:00.0,tualatin,or,us,fireball,30,Fireball sighting on Halloween night
20:00.0,newcastle,wa,us,light,10,A green light flew up into the sky&#44 moved left&#44 and descended.
00:00.0,tinley park,il,us,triangle,2700,Triangle shaped object with lights hovering in the sky
00:00.0,scappoose,or,us,oval,3600,oval shaped ufo shoots in to air with many colors
00:00.0,seguin,tx,us,triangle,14400,((HOAX??)) Right Place -Wrong Time Goverment talking Triangle Craft down over local TX Hospital
15:00.0,saint paul,mn,us,light,45,Orange points of light racing South from Perseus at great speed and altitude slowing&#44 speeding&#44 passing each other.
45:00.0,highland,ny,us,fireball,5,I witnessed a lowflying thick bright green fire trail that appeared out of nowehere.  ((NUFORC Note:  Possible meteor??  PD))
00:00.0,middle island,ny,us,fireball,2,Incredibly huge fireball with ion trail and slight alteration of trajectory.  ((NUFORC Note:  Possible meteor??  PD))
50:00.0,colorado springs,co,us,disk,120,A saucer&#44 flying only about 50 feet in the air&#44 right above the middle of Colorado Springs.  ((NUFORC Note:  Student report.  PD))
55:00.0,lombard,il,us,unknown,10,Small circle or triangle with 3 dim white lights moving very quickly.
